"(2, 2, 0)","(0.4968333333333333, 0.4840333333333333)"
"(2, 3, 0)","(0.2956833333333333, 0.6426166666666667)"
"(2, 4, 0)","(0.2766333333333333, 0.6650166666666667)"
"(2, 5, 0)","(0.3118, 0.6249)"
"(2, 6, 0)","(0.3163666666666667, 0.6219166666666667)"
"(2, 7, 0)","(0.3287166666666666, 0.6130666666666666)"
"(2, 8, 0)","(0.3502499999999999, 0.5942)"
"(2, 9, 0)","(0.37305, 0.57345)"
"(2, 10, 0)","(0.4006833333333333, 0.5497166666666667)"
"(2, 11, 0)","(0.4269833333333333, 0.5272333333333333)"
"(2, 12, 0)","(0.4357, 0.5255833333333334)"
"(2, 13, 0)","(0.4899166666666666, 0.4658)"
"(2, 14, 0)","(0.5308666666666667, 0.4273499999999999)"
"(3, 3, 0)","(0.5295333333333333, 0.4550333333333333)"
"(3, 4, 0)","(0.30175, 0.639)"
"(3, 5, 0)","(0.3351, 0.6013333333333334)"
"(3, 6, 0)","(0.3357166666666666, 0.6021666666666666)"
"(3, 7, 0)","(0.3425, 0.5974833333333334)"
"(3, 8, 0)","(0.3576, 0.58665)"
"(3, 9, 0)","(0.3812166666666667, 0.5654)"
"(3, 10, 0)","(0.4125666666666667, 0.5368499999999999)"
"(3, 11, 0)","(0.4369833333333333, 0.5156999999999999)"
"(3, 12, 0)","(0.4450166666666666, 0.5184166666666666)"
"(3, 13, 0)","(0.49705, 0.4594166666666666)"
"(3, 14, 0)","(0.54175, 0.4172333333333333)"
"(4, 4, 0)","(0.5257666666666667, 0.4579666666666666)"
"(4, 5, 0)","(0.3298666666666667, 0.6103)"
"(4, 6, 0)","(0.3280666666666667, 0.6134166666666666)"
"(4, 7, 0)","(0.3334833333333333, 0.61135)"
"(4, 8, 0)","(0.3421166666666667, 0.6039833333333333)"
"(4, 9, 0)","(0.3554666666666666, 0.5946166666666667)"
"(4, 10, 0)","(0.3882666666666667, 0.5628333333333333)"
"(4, 11, 0)","(0.42145, 0.5323833333333333)"
"(4, 12, 0)","(0.4211166666666666, 0.5422333333333333)"
"(4, 13, 0)","(0.4772833333333333, 0.4776)"
"(4, 14, 0)","(0.5296333333333333, 0.4285833333333333)"
"(5, 5, 0)","(0.5881333333333333, 0.3978666666666666)"
"(5, 6, 0)","(0.3701, 0.5699333333333333)"
"(5, 7, 0)","(0.3796166666666666, 0.5630000000000001)"
"(5, 8, 0)","(0.4005833333333333, 0.5431333333333334)"
"(5, 9, 0)","(0.40835, 0.5404)"
"(5, 10, 0)","(0.42815, 0.5234333333333333)"
"(5, 11, 0)","(0.4597, 0.4925333333333333)"
"(5, 12, 0)","(0.4608833333333333, 0.5034)"
"(5, 13, 0)","(0.5151333333333333, 0.4427166666666666)"
"(5, 14, 0)","(0.5602333333333334, 0.4006333333333333)"
"(6, 6, 0)","(0.6274333333333334, 0.3591333333333333)"
"(6, 7, 0)","(0.4020333333333333, 0.5438999999999999)"
"(6, 8, 0)","(0.4148666666666666, 0.5329166666666667)"
"(6, 9, 0)","(0.4300166666666666, 0.5222)"
"(6, 10, 0)","(0.4463999999999999, 0.50685)"
"(6, 11, 0)","(0.4645833333333333, 0.4919666666666666)"
"(6, 12, 0)","(0.4758166666666667, 0.4897833333333333)"
"(6, 13, 0)","(0.5272666666666667, 0.4331833333333333)"
"(6, 14, 0)","(0.5669666666666666, 0.3946666666666666)"
"(7, 7, 0)","(0.6571666666666667, 0.3328666666666666)"
"(7, 8, 0)","(0.4370666666666666, 0.5144)"
"(7, 9, 0)","(0.4518999999999999, 0.5033666666666666)"
"(7, 10, 0)","(0.4676666666666667, 0.4894)"
"(7, 11, 0)","(0.4902666666666666, 0.4707333333333333)"
"(7, 12, 0)","(0.4847166666666667, 0.4812166666666667)"
"(7, 13, 0)","(0.5402666666666667, 0.4227333333333333)"
"(7, 14, 0)","(0.5769666666666667, 0.38795)"
"(8, 8, 0)","(0.6915999999999999, 0.2992666666666666)"
"(8, 9, 0)","(0.4712833333333333, 0.4870166666666666)"
"(8, 10, 0)","(0.4928166666666667, 0.4675166666666666)"
"(8, 11, 0)","(0.5059833333333333, 0.4564666666666666)"
"(8, 12, 0)","(0.5079166666666667, 0.46215)"
"(8, 13, 0)","(0.5538333333333333, 0.4124833333333333)"
