val1,suit1,val2,suit2,nwin,nloose,nsplit
2.0,0.0,2.0,3.0,0.4966,0.485,0.0184
2.0,0.0,2.0,2.0,0.508,0.4702,0.0218
2.0,0.0,2.0,1.0,0.4874,0.4938,0.0188
2.0,3.0,2.0,2.0,0.5042,0.4782,0.0176
2.0,3.0,2.0,1.0,0.4834,0.4974,0.0192
2.0,2.0,2.0,1.0,0.5014,0.4796,0.019
2.0,0.0,3.0,0.0,0.3242,0.6148,0.061
2.0,0.0,3.0,3.0,0.2968,0.6428,0.0604
2.0,0.0,3.0,2.0,0.309,0.6304,0.0606
2.0,3.0,3.0,0.0,0.2968,0.638,0.0652
2.0,3.0,3.0,3.0,0.344,0.5962,0.0598
2.0,3.0,3.0,2.0,0.298,0.6346,0.0674
2.0,2.0,3.0,0.0,0.2808,0.658,0.0612
2.0,2.0,3.0,3.0,0.2906,0.6534,0.056
2.0,2.0,3.0,2.0,0.3454,0.6,0.0546
2.0,1.0,3.0,2.0,0.305,0.6324,0.0626
2.0,0.0,4.0,3.0,0.2814,0.6618,0.0568
2.0,0.0,4.0,1.0,0.2742,0.67,0.0558
2.0,0.0,4.0,0.0,0.3156,0.6346,0.0498
2.0,3.0,4.0,3.0,0.326,0.6192,0.0548
2.0,3.0,4.0,1.0,0.2788,0.6616,0.0596
2.0,3.0,4.0,0.0,0.279,0.6638,0.0572
2.0,2.0,4.0,1.0,0.2902,0.6486,0.0612
2.0,2.0,4.0,0.0,0.263,0.6736,0.0634
2.0,1.0,4.0,0.0,0.2764,0.6624,0.0612
2.0,0.0,5.0,2.0,0.3004,0.6338,0.0658
2.0,0.0,5.0,1.0,0.3228,0.619,0.0582
2.0,0.0,5.0,0.0,0.348,0.5916,0.0604
2.0,3.0,5.0,2.0,0.312,0.623,0.065
2.0,3.0,5.0,1.0,0.3142,0.6246,0.0612
2.0,3.0,5.0,0.0,0.3096,0.6304,0.06
2.0,0.0,6.0,0.0,0.3398,0.6014,0.0588
2.0,0.0,6.0,3.0,0.3072,0.6338,0.059
2.0,0.0,6.0,1.0,0.316,0.6238,0.0602
2.0,0.0,6.0,2.0,0.309,0.6284,0.0626
2.0,3.0,6.0,0.0,0.3192,0.6208,0.06
2.0,3.0,6.0,3.0,0.3568,0.5842,0.059
2.0,3.0,6.0,1.0,0.319,0.62,0.061
2.0,3.0,6.0,2.0,0.315,0.619,0.066
2.0,2.0,6.0,1.0,0.3148,0.6286,0.0566
2.0,2.0,6.0,2.0,0.3542,0.5874,0.0584
2.0,1.0,6.0,2.0,0.3294,0.6108,0.0598
2.0,0.0,7.0,2.0,0.328,0.622,0.05
2.0,0.0,7.0,0.0,0.36,0.5812,0.0588
2.0,0.0,7.0,3.0,0.3278,0.6124,0.0598
2.0,0.0,7.0,1.0,0.3252,0.6192,0.0556
2.0,3.0,7.0,2.0,0.338,0.601,0.061
2.0,3.0,7.0,0.0,0.3204,0.6192,0.0604
2.0,3.0,7.0,3.0,0.3678,0.5778,0.0544
2.0,3.0,7.0,1.0,0.3326,0.6114,0.056
2.0,2.0,7.0,0.0,0.3214,0.6214,0.0572
2.0,2.0,7.0,3.0,0.324,0.6138,0.0622
2.0,2.0,7.0,1.0,0.335,0.6032,0.0618
2.0,0.0,8.0,1.0,0.3424,0.6074,0.0502
2.0,0.0,8.0,3.0,0.3374,0.604,0.0586
2.0,3.0,8.0,1.0,0.3434,0.5988,0.0578
2.0,3.0,8.0,3.0,0.3944,0.5524,0.0532
2.0,2.0,8.0,1.0,0.3478,0.5934,0.0588
2.0,2.0,8.0,3.0,0.3552,0.594,0.0508
2.0,0.0,9.0,0.0,0.3966,0.5536,0.0498
2.0,0.0,9.0,3.0,0.3722,0.5708,0.057
2.0,3.0,9.0,0.0,0.3732,0.573,0.0538
2.0,3.0,9.0,3.0,0.4162,0.5366,0.0472
2.0,0.0,10.0,3.0,0.3972,0.5548,0.048
2.0,0.0,10.0,1.0,0.396,0.5544,0.0496
2.0,0.0,10.0,2.0,0.4052,0.544,0.0508
2.0,0.0,10.0,0.0,0.4292,0.52,0.0508
2.0,3.0,10.0,3.0,0.4274,0.5212,0.0514
2.0,3.0,10.0,1.0,0.4044,0.5502,0.0454
2.0,3.0,10.0,2.0,0.4048,0.548,0.0472
2.0,3.0,10.0,0.0,0.3966,0.5494,0.054
2.0,2.0,10.0,1.0,0.3992,0.5486,0.0522
2.0,2.0,10.0,2.0,0.4448,0.5074,0.0478
2.0,2.0,10.0,0.0,0.3904,0.5564,0.0532
2.0,0.0,11.0,1.0,0.4266,0.5262,0.0472
2.0,0.0,11.0,0.0,0.4466,0.5022,0.0512
2.0,0.0,11.0,3.0,0.4204,0.5376,0.042
2.0,3.0,11.0,1.0,0.4248,0.5298,0.0454
2.0,3.0,11.0,0.0,0.4292,0.5296,0.0412
2.0,3.0,11.0,3.0,0.4646,0.493,0.0424
2.0,2.0,11.0,0.0,0.4396,0.5138,0.0466
2.0,2.0,11.0,3.0,0.4268,0.5292,0.044
2.0,1.0,11.0,0.0,0.4074,0.5442,0.0484
2.0,1.0,11.0,3.0,0.4264,0.5282,0.0454
2.0,0.0,12.0,1.0,0.4604,0.4882,0.0514
2.0,0.0,12.0,0.0,0.449,0.5192,0.0318
2.0,0.0,12.0,2.0,0.4274,0.5404,0.0322
2.0,0.0,12.0,3.0,0.4212,0.5444,0.0344
2.0,3.0,12.0,1.0,0.4596,0.4932,0.0472
2.0,3.0,12.0,0.0,0.4248,0.5392,0.036
2.0,3.0,12.0,2.0,0.4316,0.5334,0.035
2.0,3.0,12.0,3.0,0.4628,0.5072,0.03
2.0,2.0,12.0,0.0,0.4322,0.5264,0.0414
2.0,2.0,12.0,2.0,0.4718,0.4988,0.0294
2.0,2.0,12.0,3.0,0.4316,0.5296,0.0388
2.0,1.0,12.0,2.0,0.4312,0.5392,0.0296
2.0,1.0,12.0,3.0,0.4218,0.543,0.0352
2.0,0.0,13.0,2.0,0.4854,0.4688,0.0458
2.0,0.0,13.0,0.0,0.5156,0.4492,0.0352
2.0,0.0,13.0,3.0,0.5026,0.456,0.0414
2.0,0.0,13.0,1.0,0.4898,0.4656,0.0446
2.0,3.0,13.0,2.0,0.4836,0.4704,0.046
