Hand Type,Q Check/Call,Q Bet/Raise,Fold Prob,Check/Call Prob,Bet/Raise Prob,Expected Frequency,Highest Density Frequency
K2o,0.09247983247041702,1.4235559701919556,0.3450259268283844,0.41780737042427063,0.23716671764850616,0.4235970675945282,0.09214666485786438
K2s,0.09087242931127548,1.4229507446289062,0.3451692461967468,0.4176549017429352,0.2371758669614792,0.42340806126594543,0.09168833494186401
A2o,0.08320662379264832,1.3678779602050781,0.33686450123786926,0.42533454298973083,0.2378009706735611,0.42411336302757263,0.0971219539642334
A2s,0.08169658482074738,1.366090178489685,0.3368510901927948,0.4253503680229187,0.2377985566854477,0.42390942573547363,0.09733957052230835
KK,0.08087407797574997,1.4448894262313843,0.3371410071849823,0.42847177386283875,0.23438721895217896,0.42143186926841736,0.09298921376466751
32o,0.07819060236215591,1.368161678314209,0.34418416023254395,0.4209630489349365,0.23485279083251953,0.4260765314102173,0.10941141843795776
32s,0.0753602683544159,1.367000937461853,0.34423261880874634,0.42065611481666565,0.2351112812757492,0.42592310905456543,0.10898513346910477
62o,0.06851053982973099,1.3357800245285034,0.3529762327671051,0.41329455375671387,0.23372919857501984,0.4247823655605316,0.10198206454515457
K3o,0.0677211582660675,1.4047950506210327,0.34918132424354553,0.4156405031681061,0.2351781129837036,0.4225936233997345,0.0900583267211914
K3s,0.06741535663604736,1.4048709869384766,0.34932252764701843,0.4154011607170105,0.23527634143829346,0.42238983511924744,0.08958949893712997
62s,0.06668781489133835,1.3354737758636475,0.35302817821502686,0.4132756292819977,0.23369616270065308,0.4246436357498169,0.10200462490320206
K7o,0.0649234876036644,1.4337882995605469,0.34750857949256897,0.42052486538887024,0.23196657001972198,0.4198745787143707,0.0827004685997963
72o,0.06402943283319473,1.3443440198898315,0.34939050674438477,0.40986165404319763,0.24074780941009521,0.427661269903183,0.1177322268486023
K7s,0.0639963448047638,1.4339600801467896,0.34841540455818176,0.41933995485305786,0.23224464058876038,0.41947290301322937,0.0819527879357338
72s,0.0628470927476883,1.3444783687591553,0.35015374422073364,0.40895402431488037,0.24089226126670837,0.42757678031921387,0.11794149875640869
K8o,0.060698751360177994,1.4298816919326782,0.3427642285823822,0.42146754264831543,0.23576824367046356,0.4226280748844147,0.10082677006721497
K8s,0.05973057448863983,1.4296568632125854,0.3426607549190521,0.42140117287635803,0.23593810200691223,0.4225975275039673,0.10117528587579727
A3o,0.05775196850299835,1.3551769256591797,0.34153297543525696,0.4237644672393799,0.23470263183116913,0.4236032962799072,0.09728900343179703
A3s,0.05739665776491165,1.3550902605056763,0.34171485900878906,0.42348718643188477,0.23479799926280975,0.4233328402042389,0.0974099412560463
82o,0.05725675821304321,1.4163451194763184,0.3481777608394623,0.4126102924346924,0.23921196162700653,0.4246939718723297,0.10509132593870163
82s,0.05619298294186592,1.416271448135376,0.3487696051597595,0.4119357764720917,0.23929467797279358,0.4243864119052887,0.10350903123617172
Q2o,0.05591101571917534,1.3624485731124878,0.3454827070236206,0.41728052496910095,0.23723679780960083,0.42579352855682373,0.11081337928771973
22,0.0548522062599659,1.348559021949768,0.3514817953109741,0.4133468568325043,0.2351713925600052,0.42368146777153015,0.10993704944849014
Q2s,0.05485100671648979,1.361234426498413,0.34543919563293457,0.4174700379371643,0.23709076642990112,0.4256507456302643,0.11057650297880173
J2o,0.053395822644233704,1.3616348505020142,0.3493059575557709,0.4133628308773041,0.2373313158750534,0.4252740144729614,0.10702342540025711
73o,0.05328385531902313,1.334631085395813,0.34992194175720215,0.41092371940612793,0.23915435373783112,0.426611065864563,0.11396563798189163
K9o,0.05308370664715767,1.43109929561615,0.34479448199272156,0.42173972725868225,0.2334657460451126,0.4213515520095825,0.08636540174484253
92o,0.053072381764650345,1.3410863876342773,0.34367242455482483,0.41620638966560364,0.24012118577957153,0.42401835322380066,0.10813804715871811
73s,0.052476666867733,1.3352024555206299,0.3496399223804474,0.4109799265861511,0.2393801510334015,0.42645618319511414,0.11450698226690292
J2s,0.05244813114404678,1.3617346286773682,0.34923163056373596,0.41356155276298523,0.23720678687095642,0.4250539243221283,0.10682020336389542
33,0.05200137570500374,1.3396414518356323,0.33751583099365234,0.43227627873420715,0.2302078753709793,0.42478275299072266,0.10193958878517151
K9s,0.05184336006641388,1.4313220977783203,0.34453487396240234,0.4217278063297272,0.2337372899055481,0.42118310928344727,0.08625674992799759
92s,0.051154524087905884,1.3403173685073853,0.34412744641304016,0.4159278869628906,0.239944726228714,0.42370352149009705,0.10727906227111816
KQo,0.05004134774208069,1.4209800958633423,0.34059035778045654,0.4274780750274658,0.23193156719207764,0.4195631742477417,0.08509435504674911
